summary,address,dtstart,dtend,lat,long
Local photographers share their images of fall color in Bartley Ranch Park’s Sierra Autumn Exhibit," Bartley Ranch Regional Park, Western Heritage Interpretive Center",2011-10-31 10:00:00,2011-10-31 11:00:00,39.46803798,-119.8050928
Preschool Storytime, South Valleys Library,2011-11-01 11:00:00,2011-11-01 12:00:00,39.404466,-119.759088
Knitting Club, South Valleys Library,2011-11-01 05:00:00,2011-11-01 06:00:00,39.404466,-119.759088
Family Storytime, Downtown Reno Library,2011-11-01 04:00:00,2011-11-01 05:00:00,39.5223803,-119.8102013
Washoe County Planning Commission, Washoe County Commission Chambers,2011-11-01 06:00:00,2011-11-01 07:00:00,39.5394208,-119.8009622
It’s Your Estate/Money Seminars, South Valleys Library,2011-11-01 02:00:00,2011-11-01 03:00:00,39.404466,-119.759088
It’s Your Estate/Money Seminars, Downtown Reno Library,2011-11-01 11:00:00,2011-11-01 12:00:00,39.5223803,-119.8102013
HUD Properties for First-Time Homebuyers, North Valleys Library,2011-11-01 05:00:00,2011-11-01 06:00:00,39.605111,-119.840187
Preschool Storytime, South Valleys Library,2011-11-02 11:00:00,2011-11-02 12:00:00,39.404466,-119.759088
Family Storytime, North Valleys Library,2011-11-02 11:00:00,2011-11-02 12:00:00,39.605111,-119.840187
Lifescapes, Northwest Reno Library,2011-11-02 01:00:00,2011-11-02 02:00:00,39.53816315,-119.8851085
It’s Your Estate/Money Seminars, North Valleys Library,2011-11-02 02:00:00,2011-11-02 03:00:00,39.605111,-119.840187
Crochet Connection, Spanish Springs Library,2011-11-03 04:00:00,2011-11-03 05:00:00,39.62117699,-119.7249484
Wee Read Storytime, Spanish Springs Library,2011-11-03 10:00:00,2011-11-03 11:00:00,39.62117699,-119.7249484
Preschool Storytime, Northwest Reno Library,2011-11-03 11:00:00,2011-11-03 12:00:00,39.53816315,-119.8851085
Preschool Storytime, Northwest Reno Library,2011-11-03 10:00:00,2011-11-03 11:00:00,39.53816315,-119.8851085
Toddler Time, South Valleys Library,2011-11-03 10:00:00,2011-11-03 11:00:00,39.404466,-119.759088
It’s Your Estate/Money Seminars, Sparks Library,2011-11-03 11:00:00,2011-11-03 12:00:00,39.544131,-119.758756
It’s Your Estate/Money Seminars, Northwest Reno Library,2011-11-03 02:00:00,2011-11-03 03:00:00,39.53816315,-119.8851085
Truckee Meadows Fire Open House, Washoe County Commission Chambers,2011-11-03 05:00:00,2011-11-03 06:00:00,39.5394208,-119.8009622
Bridge Group, South Valleys Library,2011-11-04 01:00:00,2011-11-04 02:00:00,39.404466,-119.759088
Toddler Time, Northwest Reno Library,2011-11-04 11:00:00,2011-11-04 12:00:00,39.53816315,-119.8851085
Toddler Time, Northwest Reno Library,2011-11-04 10:00:00,2011-11-04 11:00:00,39.53816315,-119.8851085
Toddler Time, South Valleys Library,2011-11-04 10:00:00,2011-11-04 11:00:00,39.404466,-119.759088
Regeneration: An exhibit of art that breathes new life – into life ," Wilbur D. May Museum, Rancho San Rafael Regional Park, 1595 N. Sierra Stree",2011-11-04 10:00:00,2011-11-04 11:00:00,39.54597344,-119.8251343
Bilingual Storytime, Sparks Library,2011-11-05 01:00:00,2011-11-05 02:00:00,39.544131,-119.758756
Four Seasons Book Club, Sparks Library,2011-11-05 01:00:00,2011-11-05 02:00:00,39.544131,-119.758756
Storytime, Verdi Library,2011-11-05 10:00:00,2011-11-05 11:00:00,39.52194818,-119.9901679
Regeneration: An exhibit of art that breathes new life – into life ," Wilbur D. May Museum, Rancho San Rafael Regional Park, 1595 N. Sierra Stree",2011-11-05 10:00:00,2011-11-05 11:00:00,39.54597344,-119.8251343
Clickets Knitting Group, Spanish Springs Library,2011-11-06 01:00:00,2011-11-06 02:00:00,39.62117699,-119.7249484
Beads and Books!, Spanish Springs Library,2011-11-06 01:00:00,2011-11-06 02:00:00,39.62117699,-119.7249484
Regeneration: An exhibit of art that breathes new life – into life ," Wilbur D. May Museum, Rancho San Rafael Regional Park, 1595 N. Sierra Stree",2011-11-06 01:00:00,2011-11-06 02:00:00,39.54597344,-119.8251343
Family Storytime, Spanish Springs Library,2011-11-07 10:00:00,2011-11-07 11:00:00,39.62117699,-119.7249484
Mystery Sleuths, North Valleys Library,2011-11-08 06:00:00,2011-11-08 07:00:00,39.605111,-119.840187
Spanish Springs Book Group: The Alchemist, Spanish Springs Library,2011-11-08 01:00:00,2011-11-08 02:00:00,39.62117699,-119.7249484
Preschool Storytime, South Valleys Library,2011-11-08 11:00:00,2011-11-08 12:00:00,39.404466,-119.759088
Knitting Club, South Valleys Library,2011-11-08 05:00:00,2011-11-08 06:00:00,39.404466,-119.759088
Board of County Commissioners Meetings, Washoe County Commission Chambers,2011-11-08 05:00:00,2011-11-08 06:00:00,39.5394208,-119.8009622
Family Storytime, Downtown Reno Library,2011-11-08 04:00:00,2011-11-08 05:00:00,39.5223803,-119.8102013
Lifescapes, Sparks Library,2011-11-08 02:00:00,2011-11-08 03:00:00,39.544131,-119.758756
It’s Your Estate/Money Seminars, South Valleys Library,2011-11-08 02:00:00,2011-11-08 03:00:00,39.404466,-119.759088
It’s Your Estate/Money Seminars, Downtown Reno Library,2011-11-08 11:00:00,2011-11-08 12:00:00,39.5223803,-119.8102013
Preschool Storytime, South Valleys Library,2011-11-09 11:00:00,2011-11-09 12:00:00,39.404466,-119.759088
Family Storytime, North Valleys Library,2011-11-09 11:00:00,2011-11-09 12:00:00,39.605111,-119.840187
It’s Your Estate/Money Seminars, North Valleys Library,2011-11-09 02:00:00,2011-11-09 03:00:00,39.605111,-119.840187
Wee Read Storytime, Spanish Springs Library,2011-11-10 10:00:00,2011-11-10 11:00:00,39.62117699,-119.7249484
Toddler Time, South Valleys Library,2011-11-10 10:00:00,2011-11-10 11:00:00,39.404466,-119.759088
Lifescapes, South Valleys Library,2011-11-10 10:00:00,2011-11-10 11:00:00,39.404466,-119.759088
It’s Your Estate/Money Seminars, Sparks Library,2011-11-10 11:00:00,2011-11-10 12:00:00,39.544131,-119.758756
It’s Your Estate/Money Seminars, Northwest Reno Library,2011-11-10 02:00:00,2011-11-10 03:00:00,39.53816315,-119.8851085
Toddler Time, Northwest Reno Library,2011-11-11 10:00:00,2011-11-11 11:00:00,39.53816315,-119.8851085
Toddler Time, Northwest Reno Library,2011-11-11 11:00:00,2011-11-11 12:00:00,39.53816315,-119.8851085
Paws 2 Read, South Valleys Library,2011-11-12 11:00:00,2011-11-12 12:00:00,39.404466,-119.759088
Paws 2 Read, North Valleys Library,2011-11-12 11:00:00,2011-11-12 12:00:00,39.605111,-119.840187
Knitting Club, Northwest Reno Library,2011-11-12 01:00:00,2011-11-12 02:00:00,39.53816315,-119.8851085
Princess Storytime, Sparks Library,2011-11-12 11:00:00,2011-11-12 12:00:00,39.544131,-119.758756
HUD Properties for First-Time Homebuyers, Sparks Library,2011-11-12 11:00:00,2011-11-12 12:00:00,39.544131,-119.758756
Paws 2 Read, Spanish Springs Library,2011-11-13 02:00:00,2011-11-13 03:00:00,39.62117699,-119.7249484
Let's Celebrate Native American Month!, Spanish Springs Library,2011-11-13 01:00:00,2011-11-13 02:00:00,39.62117699,-119.7249484
Family Storytime, Spanish Springs Library,2011-11-14 10:00:00,2011-11-14 11:00:00,39.62117699,-119.7249484
Knitting Club, South Valleys Library,2011-11-15 05:00:00,2011-11-15 06:00:00,39.404466,-119.759088
Movie Matinee: Cars 2, Spanish Springs Library,2011-11-15 04:00:00,2011-11-15 05:00:00,39.62117699,-119.7249484
